feature,id,X,Y
B,200,474372.5938,3147355.269
B,201,472722.5938,3147338.417
B,202,473682.5938,3147199.62
B,203,473127.5938,3147304.713
B,204,472557.5938,3147310.269
B,205,474042.5938,3147291.565
B,206,474297.5938,3147241.009
B,207,473922.5938,3147145.269
B,208,470262.5938,3147124.713
B,209,470247.5938,3147010.269
B,210,473577.5938,3147107.861
B,211,474132.5938,3146550.269
B,212,473577.5938,3146938.972
B,213,474012.5938,3146914.713
B,214,474372.5938,3146244.713
B,215,474567.5938,3146321.843
B,216,473427.5938,3146612.861
B,217,474747.5938,3146597.861
B,218,474867.5938,3146143.787
B,219,474777.5938,3146269.62
B,220,473607.5938,3146074.713
B,221,475017.5938,3145857.028
B,222,473622.5938,3146033.509
B,223,473382.5938,3145971.565
B,224,475227.5938,3145881.565
B,225,475302.5938,3145838.417
B,226,473712.5938,3145646.935
B,227,475092.5938,3145419.713
B,228,475377.5938,3145718.417
B,229,475257.5938,3145530.917
B,230,474192.5938,3145450.083
B,231,474522.5938,3145562.861
B,232,474447.5938,3145621.009
B,233,473832.5938,3145406.935
B,234,476397.5938,3144821.472
B,235,473577.5938,3145431.565
B,236,474387.5938,3145083.972
B,237,473232.5938,3145457.861
B,238,473937.5938,3145375.269
B,239,475467.5938,3145022.491
B,240,473892.5938,3144985.083
B,241,476022.5938,3145191.565
B,242,475437.5938,3145182.12
B,243,472662.5938,3145201.009
B,244,474102.5938,3145080.917
B,245,474912.5938,3145105.269
B,246,472737.5938,3145075.269
B,247,475857.5938,3145048.972
B,248,475272.5938,3145081.009
B,249,474687.5938,3145067.861
B,250,473982.5938,3144960.917
B,251,472707.5938,3144932.676
B,252,472887.5938,3144942.12
B,253,476622.5938,3144928.972
B,254,476952.5938,3144889.528
B,255,475842.5938,3144688.602
B,256,477087.5938,3144820.269
B,257,475317.5938,3144947.676
B,258,476037.5938,3144878.417
B,259,474177.5938,3144878.417
B,260,474972.5938,3144651.194
B,261,476277.5938,3144668.324
B,262,474897.5938,3144803.509
B,263,472947.5938,3144743.509
B,264,475212.5938,3144692.861
B,265,474102.5938,3144724.713
B,266,473697.5938,3144529.62
B,267,473952.5938,3144638.417
B,268,476697.5938,3144661.009
B,269,476172.5938,3144591.565
B,270,476007.5938,3144552.213
B,271,475407.5938,3144527.861
B,272,472812.5938,3144514.713
B,273,476802.5938,3144366.38
B,274,473742.5938,3144458.417
B,275,474987.5938,3144411.565
B,276,476427.5938,3144154.435
B,277,475347.5938,3144402.12
B,278,474687.5938,3144434.157
B,279,474882.5938,3144424.713
B,280,476067.5938,3144477.213
B,281,475632.5938,3144394.713
B,282,473982.5938,3144407.861
B,283,476217.5938,3144218.324
B,284,475947.5938,3144298.972
B,285,475122.5938,3144351.565
B,286,474027.5938,3144332.491
B,287,474657.5938,3143816.565
B,288,472482.5938,3144268.972
B,289,475032.5938,3144229.528
B,290,474567.5938,3144317.861
B,291,474777.5938,3144238.972
B,292,475737.5938,3144139.62
B,293,475842.5938,3143895.454
B,294,476607.5938,3143985.731
B,295,474237.5938,3144126.38
B,296,474897.5938,3143987.676
B,297,476727.5938,3144128.417
B,298,474927.5938,3144141.565
B,299,475227.5938,3143771.75
B,300,474447.5938,3144004.713
B,301,476247.5938,3144017.861
B,302,475497.5938,3143901.565
B,303,472212.5938,3143935.269
B,304,474597.5938,3143903.509
B,305,476082.5938,3143852.861
B,306,476847.5938,3143749.528
B,307,474987.5938,3143864.157
B,308,475512.5938,3143811.565
B,309,475857.5938,3143742.213
B,310,476442.5938,3143734.713
B,311,477162.5938,3143638.972
B,312,475377.5938,3143562.12
B,313,474642.5938,3142995.361
B,314,474687.5938,3143611.009
B,315,473772.5938,3143545.269
B,316,473502.5938,3143357.676
B,317,474267.5938,3143458.972
B,318,474207.5938,3143258.046
B,319,473502.5938,3143494.713
B,320,474882.5938,3143306.935
B,321,473067.5938,3143125.083
B,322,473067.5938,3143322.213
B,323,474597.5938,3143314.713
B,324,472992.5938,3143264.157
B,325,473217.5938,3143130.917
B,326,474327.5938,3143085.824
B,327,472872.5938,3142911.194
B,328,475017.5938,3142301.843
B,329,474897.5938,3142767.306
B,330,474357.5938,3142600.269
B,331,474162.5938,3142530.917
B,332,472632.5938,3142489.62
B,333,474912.5938,3142607.861
B,334,473832.5938,3142489.528
B,335,474612.5938,3142574.157
B,336,474207.5938,3142268.046
B,337,473382.5938,3141844.065
B,338,474342.5938,3142441.009
B,339,474342.5938,3142324.713
B,340,474627.5938,3142341.565
B,341,473082.5938,3141956.935
B,342,473862.5938,3142141.009
B,343,474132.5938,3142062.12
B,344,474672.5938,3141970.269
B,345,474717.5938,3142073.509
